,column_name,dtype,number_of_chars,char_position_start,char_position_end,notes
0,UMCReportId,<class 'int'>,11,0,11,Unique number linking OUT to DEMO
1,Type,<class 'str'>,2,11,13,Notifier_Lx.Code. Notifier type.
